Batch,Height,Width,Onset Prediction,Offset Prediction,Frame Prediction,Velocity Prediction
0,2,49,3.966986e-06,6.0613187e-05,0.004054334,0.07702637,0.18907149
0,2,50,2.3369335e-05,0.0006411777,0.0054905633,0.13696289,1.0
0,2,51,2.8409744e-05,0.00013765464,0.004382337,0.32666016,1.0
0,2,52,2.48248e-06,0.00016093082,0.009708476,0.091308594,5.805002e-07
0,2,53,1.9485221e-06,0.00012533752,0.0015011821,0.33251953,1.0
0,2,54,1.2805474e-05,4.4694072e-05,0.008187911,0.22241211,1.14479544e-10
0,2,55,2.5215734e-06,9.915273e-05,0.002946405,0.20483398,0.8458151
0,2,56,4.35688e-06,4.9859576e-05,0.003593603,0.06994629,1.0
0,2,57,0.0004076526,0.00024923251,0.0060503976,0.33740234,0.99997634
0,2,58,4.165958e-05,7.0863265e-05,0.06928941,-0.0024414062,1.0
0,2,59,3.0479141e-05,2.3552619e-05,0.013902059,0.39282227,0.3820838
0,2,60,0.00011591935,0.00012830943,0.021328082,0.2692871,0.9998795
0,2,61,1.3525267e-05,1.7097478e-05,0.0067188703,0.18493652,1.0
0,2,62,1.3315579e-05,0.0001344663,0.01812472,0.16125488,1.0
0,2,63,3.1693253e-05,3.5633544e-05,0.01374232,0.31958008,1.1112453e-13
0,2,64,2.411114e-05,4.4346274e-05,0.06359858,0.20166016,1.0
0,2,65,7.827868e-06,8.547616e-05,0.010408315,0.3720703,1.0861517e-09
0,2,66,1.9073577e-05,1.485458e-05,0.029760094,0.5083008,6.1887057e-10
0,2,67,1.4971083e-05,4.7206227e-05,0.013532148,0.4116211,1.0
0,2,68,6.748052e-06,2.1444948e-05,0.008315778,0.07458496,0.9999907
0,2,69,0.00040133507,8.029784e-05,0.004773722,0.31323242,1.0
0,2,70,4.7206227e-05,7.6621014e-05,0.019087434,-0.06225586,8.105604e-08
0,2,71,4.6838886e-05,5.6058285e-05,0.010368156,0.003540039,0.9999234
0,2,72,0.000114122384,0.00010472557,0.0073173973,0.16723633,6.0927585e-10
0,2,73,2.178265e-05,2.5268228e-05,0.00784624,0.20129395,0.8344069
0,2,74,2.8632556e-05,3.676463e-05,0.0016356752,0.050598145,1.0
0,2,75,1.4510479e-05,1.2219076e-05,0.0039762277,0.44335938,1.0
0,2,76,3.7931623e-05,2.6688527e-05,0.0074606435,0.23461914,5.3930524e-16
0,2,77,4.710909e-06,1.7097478e-05,0.0022083889,-0.050231934,1.719565e-06
0,2,78,4.8325637e-05,1.0953123e-05,0.0057749297,0.48583984,1.0
0,2,79,2.6070304e-05,9.972941e-06,0.00492451,0.19433594,0.9998403
0,2,80,3.528312e-06,4.0294562e-06,0.00032250723,-0.018432617,1.0
0,2,81,3.3474687e-05,5.0147346e-06,0.00042388475,0.2368164,3.2710515e-16
0,2,82,2.8409744e-05,1.3817097e-06,0.0010944522,-0.7397461,1.4637785e-12
0,2,83,2.463161e-06,9.570828e-07,0.00011147905,0.4086914,1.0
0,2,84,5.8171895e-06,7.1682206e-07,0.00020184422,-0.35473633,1.0
0,2,85,4.2139806e-07,6.118431e-08,7.646537e-06,-0.3425293,7.444878e-15
0,2,86,4.4508508e-07,3.5410757e-08,6.2409304e-06,-0.12463379,3.7831744e-36
0,2,87,4.7010346e-07,5.484526e-08,2.902312e-06,-0.5410156,1.0
0,3,0,3.6688634e-06,6.6295206e-07,8.85157e-07,-0.15283203,1.0
0,3,1,2.2603242e-06,2.3873781e-06,1.517511e-06,-0.39672852,0.9999999
0,3,2,1.0783313e-05,9.061478e-07,1.5903379e-06,0.016113281,0.99999917
0,3,3,6.302759e-05,1.2878952e-06,1.0953123e-05,-0.4501953,3.2631558e-06
0,3,4,0.00042887926,3.0415965e-06,1.3738256e-05,-0.3552246,6.198028e-13
0,3,5,0.00013873413,5.908796e-06,3.065452e-06,-0.29833984,1.17018054e-07
0,3,6,4.7949587e-05,2.2252814e-06,2.265035e-05,-0.1586914,1.133501e-11
0,3,7,2.7751648e-05,5.0147346e-06,6.748052e-06,-0.076171875,0.27590942
0,3,8,2.178265e-05,2.925075e-06,3.017927e-06,-0.18835449,7.637469e-14
0,3,9,4.8325637e-05,6.962257e-06,9.368718e-06,-0.08178711,1.0
0,3,10,5.9209167e-05,1.7231574e-05,7.602479e-05,-0.04272461,1.0
0,3,11,0.00025915823,6.0963607e-06,5.874842e-05,-0.12438965,5.3994967e-08
0,3,12,0.00021152887,2.908344e-05,0.00013238187,-0.06958008,1.0
0,3,13,3.734357e-05,3.393145e-06,1.5326108e-05,-0.0063476562,1.3635772e-16
0,3,14,0.0010691264,3.0479141e-05,3.3737226e-05,-0.05041504,0.000101503836
0,3,15,0.0012497094,1.8486757e-05,5.2252268e-05,-0.17224121,0.5690746
0,3,16,0.0016875096,4.198631e-05,0.00015000565,-0.27441406,1.0832235e-14
0,3,17,0.0017546143,6.253713e-05,3.5356254e-05,-0.024414062,0.01844021
0,3,18,0.00045121065,1.2705823e-05,7.368593e-05,0.035888672,0.9999988
